antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'item_1', 'item_2'})",frozenset({'item_5'}),0.1158,0.1256,0.0182,0.15716753022452504,1.2513338393672377,0.0036555200000000024,1.0374540983606557,0.2271575969834284
frozenset({'item_5'}),"frozenset({'item_1', 'item_2'})",0.1256,0.1158,0.0182,0.14490445859872614,1.2513338393672377,0.0036555200000000024,1.0340364990689013,0.2297035078370853
"frozenset({'item_2', 'item_5'})",frozenset({'item_1'}),0.0324,0.4708,0.0182,0.5617283950617284,1.1931359283384206,0.002946080000000002,1.2074704225352115,0.16729281466776308
frozenset({'item_1'}),"frozenset({'item_2', 'item_5'})",0.4708,0.0324,0.0182,0.03865760407816483,1.1931359283384206,0.002946080000000002,1.0065092355280603,0.3058815711876938
"frozenset({'item_1', 'item_5'})",frozenset({'item_2'}),0.0598,0.2558,0.0182,0.30434782608695654,1.1897882176972499,0.00290316,1.0697875,0.1696599507703528
frozenset({'item_2'}),"frozenset({'item_1', 'item_5'})",0.2558,0.0598,0.0182,0.07114933541829555,1.1897882176972499,0.00290316,1.0122186868686869,0.21434330249164973
frozenset({'item_25'}),frozenset({'item_1'}),0.027,0.4708,0.0148,0.5481481481481482,1.1642908839170523,0.0020884000000000007,1.1711803278688524,0.14502374934029613
frozenset({'item_1'}),frozenset({'item_25'}),0.4708,0.027,0.0148,0.03143585386576041,1.164290883917052,0.0020884000000000007,1.0045798245614035,0.2666441952156238
frozenset({'item_6'}),"frozenset({'item_1', 'item_2'})",0.1024,0.1158,0.0136,0.1328125,1.146912780656304,0.0017420799999999983,1.019618018018018,0.14270735031980694
"frozenset({'item_1', 'item_2'})",frozenset({'item_6'}),0.1158,0.1024,0.0136,0.11744386873920552,1.146912780656304,0.0017420799999999983,1.0170457925636007,0.14487007198264953
"frozenset({'item_1', 'item_4'})",frozenset({'item_5'}),0.07,0.1256,0.01,0.14285714285714285,1.1373976342129208,0.0012080000000000007,1.0201333333333333,0.12989247311827967
frozenset({'item_5'}),"frozenset({'item_1', 'item_4'})",0.1256,0.07,0.01,0.07961783439490447,1.1373976342129208,0.0012080000000000007,1.0104498269896194,0.13815187557182076
"frozenset({'item_1', 'item_6'})",frozenset({'item_2'}),0.0474,0.2558,0.0136,0.2869198312236287,1.1216568851588298,0.0014750799999999984,1.0436414201183433,0.11385866544812329
frozenset({'item_2'}),"frozenset({'item_1', 'item_6'})",0.2558,0.0474,0.0136,0.05316653635652853,1.1216568851588298,0.0014750799999999984,1.006090338563171,0.1457427636467109
frozenset({'item_5'}),frozenset({'item_4'}),0.1256,0.1508,0.0212,0.16878980891719747,1.119295815100779,0.0022595200000000044,1.0216429118773946,0.12189059020525148
frozenset({'item_4'}),frozenset({'item_5'}),0.1508,0.1256,0.0212,0.14058355437665784,1.119295815100779,0.0022595200000000044,1.0174345679012347,0.12550769203423448
"frozenset({'item_1', 'item_5'})",frozenset({'item_4'}),0.0598,0.1508,0.01,0.16722408026755853,1.108912999121741,0.000982160000000001,1.0197220883534135,0.10446288023824728
frozenset({'item_4'}),"frozenset({'item_1', 'item_5'})",0.1508,0.0598,0.01,0.06631299734748011,1.108912999121741,0.000982160000000001,1.0069755681818182,0.1156570890249648
frozenset({'item_12'}),frozenset({'item_2'}),0.0516,0.2558,0.0146,0.28294573643410853,1.1061209399300567,0.0014007199999999994,1.0378572972972973,0.101159559286585
frozenset({'item_2'}),frozenset({'item_12'}),0.2558,0.0516,0.0146,0.057075840500390926,1.1061209399300567,0.0014007199999999994,1.0058072968490879,0.12891658966325883
"frozenset({'item_2', 'item_6'})",frozenset({'item_1'}),0.0264,0.4708,0.0136,0.5151515151515151,1.094204577637033,0.0011708799999999991,1.091475,0.08842863357339643
frozenset({'item_1'}),"frozenset({'item_2', 'item_6'})",0.4708,0.0264,0.0136,0.02888700084961767,1.094204577637033,0.0011708799999999991,1.0025609798775155,0.16268729714107855
frozenset({'item_1'}),frozenset({'item_30'}),0.4708,0.021,0.0108,0.022939677145284623,1.0923655783468869,0.0009131999999999994,1.0019852173913044,0.15977996136726286
frozenset({'item_30'}),frozenset({'item_1'}),0.021,0.4708,0.0108,0.5142857142857142,1.0923655783468866,0.0009131999999999994,1.0895294117647059,0.08636931108841216
frozenset({'item_9'}),frozenset({'item_4'}),0.0648,0.1508,0.0106,0.16358024691358025,1.084749647968039,0.0008281600000000014,1.015279704797048,0.08354181125619395
frozenset({'item_4'}),frozenset({'item_9'}),0.1508,0.0648,0.0106,0.07029177718832892,1.084749647968039,0.0008281600000000014,1.0059069900142654,0.09200223962175294
frozenset({'item_11'}),frozenset({'item_1'}),0.0528,0.4708,0.0268,0.5075757575757576,1.0781133338482531,0.0019417600000000007,1.0746830769230769,0.07649253731343286
frozenset({'item_1'}),frozenset({'item_11'}),0.4708,0.0528,0.0268,0.05692438402718777,1.0781133338482531,0.0019417600000000007,1.0043733333333333,0.13691181281799622
frozenset({'item_1'}),frozenset({'item_23'}),0.4708,0.0262,0.0132,0.028037383177570093,1.070129128914889,0.0008650399999999992,1.0018903846153846,0.1238347190728142
frozenset({'item_23'}),frozenset({'item_1'}),0.0262,0.4708,0.0132,0.5038167938931297,1.0701291289148889,0.0008650399999999992,1.0665415384615384,0.06729650167727795
